

                mardi,8h30-10h30,Langage C  (TD/TP)

                
                mardi,10h30-12h30,Architecture des ordinateurs

                
                jeudi,10h30-12h30,Architecture des ordinateurs (TD/TP)

                
                jeudi,8h30-10h30,RO (TD/TP)

                
                vendredi,10h30-12h30,RO

                
